season,month,hour,holiday,weekday,workingday,weather,temperature,humidity,windspeed,count
3,9,14,0,6,0,2,0.52,0.72,0.194,297
3,9,6,0,1,1,1,0.5,0.77,0.2239,113
3,9,22,0,2,1,1,0.56,0.94,0.0,148
3,9,14,0,4,1,2,0.66,0.83,0.2239,183
4,9,6,0,6,0,2,0.56,0.94,0.1045,18
4,9,22,0,0,0,1,0.62,0.88,0.0896,104
4,9,14,0,2,1,2,0.68,0.79,0.1045,152
4,9,6,0,4,1,2,0.6,0.88,0.0896,111
4,9,22,0,5,1,1,0.52,0.55,0.3284,159
4,10,14,0,0,0,3,0.36,0.81,0.1642,256
4,10,6,0,2,1,1,0.4,0.82,0.1045,112
4,10,22,0,3,1,1,0.52,0.72,0.0,154
4,10,14,0,5,1,1,0.62,0.5,0.0,256
4,10,6,0,0,0,1,0.44,0.88,0.0,21
4,10,22,1,1,0,1,0.56,0.88,0.0896,126
4,10,14,0,3,1,3,0.54,0.94,0.2836,78
4,10,6,0,5,1,3,0.56,0.88,0.194,94
4,10,22,0,6,0,1,0.5,0.36,0.1343,166
4,10,14,0,1,1,1,0.58,0.49,0.194,166
4,10,7,0,3,1,3,0.52,0.77,0.2537,68
4,10,23,0,4,1,1,0.42,0.58,0.2537,90
4,10,15,0,6,0,1,0.48,0.51,0.2239,382
4,10,7,0,1,1,2,0.38,0.94,0.1045,285
4,10,23,0,2,1,1,0.44,0.72,0.1343,94
4,10,15,0,4,1,2,0.52,0.83,0.1045,107
4,10,7,0,6,0,3,0.26,0.87,0.3582,7
4,10,23,0,0,0,1,0.26,0.87,0.0,37
4,11,15,0,2,1,1,0.5,0.45,0.1343,186
4,11,7,0,4,1,2,0.32,0.81,0.0896,292
4,11,23,0,5,1,1,0.32,0.49,0.3284,89
4,11,15,0,0,0,1,0.48,0.51,0.194,306
4,11,7,0,2,1,1,0.3,0.87,0.1045,323
4,11,23,0,3,1,1,0.38,0.87,0.0,66
4,11,15,1,5,0,1,0.36,0.37,0.4179,216
4,11,7,0,0,0,1,0.34,0.66,0.2239,43
4,11,23,0,1,1,1,0.56,0.64,0.2985,61
4,11,15,0,3,1,3,0.48,0.94,0.1045,66
4,11,7,0,5,1,1,0.22,0.44,0.1642,216
4,11,23,0,6,0,1,0.38,0.62,0.2239,93
4,11,15,0,1,1,3,0.44,0.94,0.2239,108
4,11,7,0,3,1,2,0.46,1.0,0.0896,156
4,11,23,1,4,0,1,0.34,0.76,0.1045,21
4,11,15,0,6,0,2,0.5,0.42,0.1045,314
4,11,8,0,1,1,2,0.42,0.94,0.0,407
4,11,0,0,3,1,1,0.36,0.62,0.4179,24
4,12,16,0,4,1,1,0.4,0.4,0.194,201
4,12,8,0,6,0,1,0.24,0.75,0.0896,63
4,12,0,0,1,1,1,0.32,0.87,0.0896,24
4,12,16,0,2,1,3,0.46,1.0,0.2537,88
4,12,8,0,4,1,1,0.22,0.55,0.2836,429
4,12,0,0,6,0,2,0.26,0.81,0.1045,77
4,12,16,0,0,0,1,0.3,0.26,0.0,206
4,12,8,0,2,1,1,0.2,0.69,0.1045,400
4,12,0,0,4,1,1,0.32,0.7,0.1642,50
4,12,16,0,5,1,2,0.32,0.45,0.2239,224
4,12,8,0,0,0,1,0.2,0.69,0.0,32
4,12,0,0,2,1,1,0.36,0.57,0.1045,21
1,12,16,0,3,1,3,0.44,1.0,0.3284,101
1,12,8,0,5,1,1,0.4,0.76,0.2537,182
1,12,0,0,0,0,1,0.24,0.6,0.194,6
1,12,18,1,1,0,1,0.32,0.49,0.0896,75
1,12,11,0,3,1,1,0.36,0.46,0.3582,111
1,12,3,0,5,1,1,0.24,0.7,0.1045,6
1,12,19,0,6,0,1,0.42,0.54,0.2239,92
1,1,12,1,1,0,1,0.28,0.36,0.2537,202
1,1,4,0,3,1,1,0.02,0.41,0.194,2
1,1,20,0,4,1,1,0.3,0.49,0.0,177
1,1,12,0,6,0,1,0.4,0.43,0.2239,376
1,1,4,0,1,1,1,0.22,0.64,0.1045,4
1,1,21,0,2,1,1,0.32,0.66,0.0896,116
1,1,13,0,4,1,1,0.42,0.77,0.1642,183
1,1,5,0,6,0,1,0.14,0.5,0.1343,4
1,1,21,0,0,0,1,0.16,0.4,0.1642,72
1,1,14,0,2,1,1,0.44,0.62,0.4925,132
1,1,6,0,4,1,1,0.12,0.54,0.1642,86
1,1,22,0,5,1,2,0.2,0.37,0.2239,72
1,1,14,0,0,0,2,0.16,0.8,0.1642,182
1,1,6,0,2,1,2,0.32,0.93,0.194,89
1,1,22,0,3,1,1,0.3,0.65,0.0896,113
1,1,14,0,5,1,1,0.5,0.55,0.5522,176
1,1,6,0,0,0,1,0.2,0.4,0.1045,5
1,1,22,0,1,1,1,0.28,0.48,0.2239,94
1,2,14,0,3,1,1,0.62,0.33,0.2239,192
1,2,6,0,5,1,1,0.24,0.65,0.1642,88
1,2,22,0,6,0,2,0.24,0.87,0.0896,95
1,2,15,0,1,1,1,0.42,0.32,0.2836,171
1,2,7,0,3,1,2,0.24,0.7,0.1045,281
1,2,23,0,4,1,2,0.3,0.52,0.0,84
1,2,15,0,6,0,2,0.3,0.61,0.2985,124
1,2,7,0,1,1,1,0.1,0.54,0.194,195
1,2,23,0,2,1,2,0.36,0.5,0.0896,57
1,2,15,0,4,1,3,0.34,0.76,0.0,53
1,2,7,0,6,0,1,0.24,0.7,0.0,41
1,2,23,0,0,0,2,0.22,0.93,0.1642,35
1,2,17,0,2,1,1,0.38,0.4,0.4478,432
1,2,9,0,4,1,1,0.36,0.81,0.2537,242
1,2,1,0,6,0,1,0.34,0.42,0.3582,46
1,2,17,0,0,0,1,0.36,0.32,0.2239,287
1,2,9,0,2,1,1,0.28,0.45,0.3582,232
1,3,2,0,4,1,2,0.46,0.94,0.2836,6
1,3,18,0,5,1,3,0.36,0.87,0.194,160
1,3,10,0,0,0,1,0.3,0.49,0.3284,192
1,3,2,0,2,1,1,0.2,0.44,0.2239,4
1,3,18,0,3,1,1,0.56,0.4,0.4627,544
1,3,10,0,5,1,2,0.34,0.36,0.4925,159
1,3,3,0,0,0,1,0.24,0.6,0.1343,66
1,3,19,0,1,1,2,0.56,0.49,0.2239,446
1,3,11,0,3,1,2,0.62,0.41,0.1642,220
1,3,3,0,5,1,2,0.4,0.87,0.2836,3
1,3,19,0,6,0,1,0.58,0.64,0.2836,417
1,3,11,0,1,1,1,0.56,0.68,0.1642,201
2,3,3,0,3,1,2,0.5,0.88,0.194,8
2,3,19,0,4,1,1,0.66,0.61,0.0,586
2,3,11,0,6,0,2,0.5,0.94,0.194,273
2,3,3,0,1,1,1,0.46,0.82,0.194,1
2,3,19,0,2,1,1,0.42,0.17,0.0,417
2,3,11,0,4,1,1,0.5,0.45,0.4179,220
2,3,3,0,6,0,1,0.4,0.82,0.2537,31
2,4,19,0,0,0,1,0.52,0.55,0.2239,346
2,4,12,0,2,1,1,0.52,0.25,0.0,331
2,4,4,0,4,1,1,0.38,0.43,0.2836,1
2,4,20,0,5,1,1,0.46,0.24,0.2836,252
2,4,12,0,0,0,1,0.54,0.24,0.2537,457
2,4,4,0,2,1,1,0.34,0.71,0.1343,2
2,4,21,0,3,1,1,0.34,0.57,0.3881,165
2,4,13,0,5,1,1,0.52,0.27,0.2836,358
2,4,5,0,0,0,1,0.5,0.68,0.1642,10
2,4,21,1,1,0,1,0.68,0.51,0.2537,271
2,4,13,0,3,1,3,0.46,0.59,0.0,64
2,4,5,0,5,1,1,0.42,0.94,0.0,25
2,4,21,0,6,0,3,0.5,0.82,0.3881,102
2,4,13,0,1,1,3,0.34,0.66,0.3881,107
2,4,5,0,3,1,1,0.34,0.66,0.0,24
2,4,21,0,4,1,1,0.52,0.83,0.2239,250
2,4,13,0,6,0,2,0.4,0.37,0.0,389
2,4,5,0,1,1,1,0.38,0.62,0.2537,20
2,5,21,0,2,1,1,0.64,0.65,0.1343,282
2,5,13,0,4,1,1,0.6,0.69,0.194,265
2,5,5,0,6,0,1,0.56,0.88,0.0896,22
2,5,21,0,0,0,1,0.56,0.73,0.194,203
2,5,13,0,2,1,3,0.64,0.65,0.2537,219
2,5,5,0,4,1,1,0.46,0.72,0.2985,24
2,5,21,0,5,1,1,0.6,0.28,0.1045,270
2,5,13,0,0,0,1,0.68,0.54,0.2537,602
2,5,5,0,2,1,3,0.56,0.94,0.2239,8
2,5,21,0,3,1,1,0.64,0.73,0.194,393
2,5,13,0,5,1,1,0.64,0.36,0.1642,395
2,5,5,0,0,0,1,0.5,0.72,0.1045,8
2,5,21,0,1,1,1,0.62,0.69,0.0896,241
2,5,13,0,3,1,2,0.66,0.74,0.1642,270
2,5,5,0,5,1,2,0.62,0.88,0.0896,30
2,5,21,0,6,0,2,0.72,0.62,0.194,251
2,5,13,1,1,0,1,0.8,0.63,0.2836,556
2,5,5,0,3,1,2,0.62,0.78,0.1343,41
2,5,21,0,4,1,1,0.68,0.44,0.1642,359
2,6,13,0,6,0,1,0.62,0.41,0.2537,679
2,6,5,0,1,1,1,0.52,0.68,0.0,35
2,6,21,0,2,1,1,0.54,0.56,0.1642,283
2,6,13,0,4,1,1,0.7,0.37,0.2836,315
2,6,5,0,6,0,1,0.6,0.56,0.1045,19
2,6,21,0,0,0,1,0.72,0.62,0.1642,253
2,6,13,0,2,1,3,0.66,0.83,0.194,59
2,6,5,0,4,1,2,0.6,0.56,0.2537,40
2,6,21,0,5,1,1,0.66,0.5,0.1045,333
2,6,13,0,0,0,1,0.64,0.53,0.1642,614
2,6,5,0,2,1,2,0.6,0.78,0.194,37
2,6,21,0,3,1,1,0.84,0.44,0.0896,344
3,6,13,0,5,1,1,0.88,0.39,0.2239,300
3,6,5,0,0,0,1,0.62,0.69,0.1343,8
3,6,21,0,1,1,1,0.68,0.3,0.3284,331
3,6,13,0,3,1,1,0.8,0.27,0.3284,321
3,6,5,0,5,1,1,0.7,0.61,0.1045,45
3,6,21,0,6,0,1,0.82,0.52,0.1642,213
3,7,13,0,1,1,1,0.86,0.34,0.2239,236
3,7,5,1,3,0,1,0.66,0.69,0.0,19
3,7,21,0,4,1,1,0.84,0.47,0.194,323
3,7,13,0,6,0,2,0.96,0.31,0.2537,360
3,7,5,0,1,1,2,0.66,0.83,0.2239,28
3,7,21,0,2,1,3,0.64,0.89,0.1045,90
3,7,13,0,4,1,1,0.8,0.33,0.2239,277
3,7,5,0,6,0,2,0.64,0.73,0.1045,5
3,7,21,0,0,0,1,0.72,0.79,0.0896,223
3,7,13,0,2,1,1,0.92,0.31,0.194,221
3,7,5,0,4,1,2,0.72,0.7,0.1045,40
3,7,21,0,5,1,3,0.62,0.83,0.3284,122
3,7,13,0,0,0,2,0.7,0.65,0.0896,626
3,7,5,0,2,1,1,0.66,0.83,0.1045,50
3,7,21,0,3,1,1,0.72,0.45,0.1343,397
3,7,13,0,5,1,1,0.84,0.47,0.2836,314
3,7,5,0,0,0,1,0.62,0.78,0.194,17
3,7,21,0,1,1,1,0.72,0.7,0.194,322
3,8,13,0,3,1,1,0.8,0.52,0.1642,280
3,8,5,0,5,1,1,0.66,0.83,0.1642,37
3,8,21,0,6,0,1,0.8,0.59,0.2537,289
3,8,13,0,1,1,1,0.8,0.49,0.2239,289
3,8,5,0,3,1,2,0.68,0.89,0.1642,43
3,8,21,0,4,1,2,0.7,0.58,0.1642,336
3,8,13,0,6,0,1,0.8,0.49,0.3582,569
3,8,5,0,1,1,1,0.64,0.69,0.1045,36
3,8,21,0,2,1,1,0.74,0.62,0.2239,308
3,8,13,0,4,1,1,0.8,0.31,0.2239,300
3,8,5,0,6,0,1,0.6,0.78,0.2537,9
3,8,21,0,0,0,3,0.62,0.78,0.0896,190
3,8,13,0,2,1,1,0.74,0.4,0.0,331
3,8,5,0,4,1,1,0.62,0.83,0.0,37
3,8,21,0,5,1,2,0.7,0.61,0.1642,306
3,8,13,0,0,0,3,0.66,0.78,0.4179,541
3,8,5,0,2,1,2,0.66,0.83,0.0896,42
3,8,21,0,3,1,1,0.66,0.54,0.1045,313
3,8,13,0,5,1,1,0.88,0.27,0.3284,368
3,9,5,0,0,0,1,0.66,0.89,0.0,12
3,9,21,1,1,0,1,0.72,0.76,0.1045,184
3,9,13,0,3,1,1,0.8,0.63,0.1642,234
3,9,5,0,5,1,1,0.62,0.88,0.0,40
3,9,21,0,6,0,2,0.6,0.83,0.1642,181
3,9,13,0,1,1,1,0.64,0.38,0.2239,323
3,9,5,0,3,1,1,0.5,0.72,0.0896,48
3,9,21,0,4,1,1,0.62,0.65,0.1045,317
3,9,13,0,6,0,1,0.68,0.36,0.194,704
3,9,5,0,1,1,1,0.48,0.82,0.0896,45
3,9,21,0,2,1,2,0.6,0.88,0.194,207
3,9,13,0,4,1,1,0.64,0.44,0.1343,336
3,9,5,0,6,0,1,0.56,0.83,0.3284,17
4,9,21,0,0,0,2,0.52,0.48,0.1045,196
4,9,13,0,2,1,1,0.64,0.47,0.2537,305
4,9,5,0,4,1,1,0.58,0.83,0.0,66
4,9,21,0,5,1,3,0.6,0.53,0.194,237
4,9,13,0,0,0,1,0.62,0.41,0.2537,594
4,10,5,0,2,1,2,0.56,0.83,0.1343,43
4,10,21,0,3,1,2,0.66,0.74,0.0,209
4,10,13,0,5,1,1,0.7,0.48,0.0,424
4,10,5,0,0,0,2,0.44,0.54,0.1343,10
4,10,21,1,1,0,2,0.4,0.76,0.2239,151
4,10,13,0,3,1,1,0.56,0.49,0.0,297
4,10,5,0,5,1,1,0.36,0.81,0.0896,35
4,10,21,0,6,0,1,0.4,0.58,0.194,204
4,10,13,0,1,1,2,0.56,0.88,0.2239,146
4,10,5,0,3,1,2,0.36,0.81,0.0,41
4,10,21,0,4,1,2,0.54,0.77,0.194,283
4,10,13,0,6,0,1,0.56,0.43,0.1642,714
4,10,5,0,1,1,1,0.38,0.76,0.0896,46
4,10,21,0,2,1,1,0.56,0.68,0.0,295
4,10,13,0,4,1,2,0.56,0.78,0.0,313
4,10,5,0,6,0,2,0.5,0.82,0.194,9
4,10,21,0,0,0,3,0.44,0.88,0.4179,46
4,11,1,0,4,1,1,0.3,0.75,0.1045,30
4,11,17,0,5,1,1,0.38,0.4,0.3284,638
4,11,9,0,0,0,1,0.32,0.53,0.0,217
4,11,1,0,2,1,1,0.24,0.6,0.1642,8
4,11,17,0,3,1,2,0.32,0.53,0.3881,517
4,11,10,0,5,1,1,0.36,0.5,0.3284,197
4,11,2,0,0,0,1,0.32,0.87,0.1045,70
4,11,18,1,1,0,1,0.52,0.72,0.1343,551
4,11,10,0,3,1,1,0.32,0.45,0.3582,171
4,11,2,0,5,1,2,0.3,0.7,0.1642,9
4,11,18,0,6,0,1,0.36,0.5,0.1045,271
4,11,10,0,1,1,2,0.36,0.66,0.2537,139
4,11,2,0,3,1,1,0.28,0.87,0.1045,8
4,11,18,1,4,0,1,0.4,0.43,0.0,70
4,11,10,0,6,0,2,0.26,0.44,0.2985,142
4,11,2,0,1,1,1,0.2,0.69,0.0,5
4,11,18,0,2,1,1,0.26,0.81,0.3582,482
4,11,11,0,4,1,1,0.36,0.37,0.2239,163
4,12,3,0,6,0,2,0.26,0.81,0.1343,15
4,12,19,0,0,0,2,0.4,0.82,0.194,174
4,12,11,0,2,1,1,0.48,0.77,0.194,207
4,12,3,0,4,1,1,0.22,0.55,0.194,2
4,12,19,0,5,1,2,0.38,0.76,0.0,352
4,12,11,0,0,0,2,0.4,0.87,0.2985,250
4,12,3,0,2,1,3,0.36,0.76,0.2836,3
4,12,19,0,3,1,2,0.3,0.56,0.2239,402
4,12,11,0,5,1,1,0.32,0.65,0.194,211
4,12,3,0,0,0,2,0.34,0.87,0.194,38
4,12,19,0,1,1,2,0.42,0.88,0.1343,340
4,12,11,0,3,1,1,0.4,0.54,0.2239,200
1,12,3,0,5,1,3,0.46,0.94,0.3881,3
1,12,19,0,6,0,1,0.24,0.48,0.3582,60
1,12,12,0,1,1,2,0.28,0.56,0.0896,135
1,12,5,0,3,1,2,0.22,0.69,0.2836,11
1,12,21,0,4,1,2,0.24,0.6,0.2537,63
1,12,13,0,6,0,3,0.2,1.0,0.0,84
1,12,5,0,1,1,1,0.16,0.64,0.194,9
